name,type,size,amount,non_veg,veg,queued_orders,chef_experience,workedHrs,time
chickenKotthu,main,xl,1,1,0,1,senior,2,12
cuttleFishDevil ,bites,xl,4,1,0,3,junior,2,50
chickpea,appetizer,nm,2,0,1,4,junior,1,25
chickenlasange,main,lg,4,1,0,2,senior,4.5,55
chickenlasange,main,nm,1,1,0,1,senior,2,25
savana,premire,nm,2,1,0,2,junior,2,34
mongolianRice,main,nm,5,1,0,0,senior,4,35
beeflasange,main,xl,2,1,0,3,junior,3.5,47
chickenBuriyani,main,xl,2,1,0,1,senior,3,50
hoppers,bites,nm,20,0,1,1,junior,1,11
vegPizza,main,nm,3,0,1,0,junior,1.5,24
fishandChips,bites,nm,4,1,0,2,senior,3,25
chickenBurger,main,xl,4,1,0,4,junior,2,20
submarine,appetizer,xl,2,1,0,1,junior,1,15
chickpea,appetizer,lg,4,0,1,2,senior,5,35
 fried noodles with vegetables ,main,nm,5,0,1,2,senior,5,60
mixedFriedRice,main,nm,3,1,0,3,junior,3,25
Sweet and sour pork,main,nm,2,0,0,0,senior,4,31
 fried noodles with vegetables ,main,nm,4,0,1,1,senior,1,36
Hot butter mushroom,appetizer,nm,8,0,1,2,junior,3.5,30
Hot butter mushroom,appetizer,nm,3,0,1,1,junior,2,12
chickenPizza,main,nm,5,1,0,1,junior,2,25
vegBurger,main,xl,1,0,1,2,senior,1,20
bbqChicken,bites,lg,3,1,0,3,junior,5,35
chickenFriedRice,main,lg,1,1,0,0,junior,0,25
mongolianRice,main,lg,3,1,0,3,junior,7,50
lavaCake,dessert,lg,5,0,1,3,junior,1,17
Sweet and sour pork,main,nm,5,1,0,1,senior,7,46
vegChopsy,appetizer,xl,2,0,1,0,junior,2.5,20
mixedChopsy,main,nm,2,0,1,3,junior,2,25
sausagePizza,main,nm,2,1,0,3,junior,2,30
vegChopsy,appetizer,xl,1,0,1,3,junior,2,25
chickenSalad,bites,lg,4,0,1,2,senior,1,18
bbqChicken,bites,lg,10,1,0,1,senior,3,60
Sweet and sour pork,main,nm,2,1,0,2,junior,4,41
bbqChicken,bites,xl,10,1,0,2,junior,7,65
Tuna Club Sandwich,appetizer,lg,3,1,0,2,senior,2,16
fishandChips,bites,xl,3,1,0,3,junior,6,40
chickenFriedRice,main,nm,3,1,0,0,senior,4.5,28
noodlesChopsy,main,lg,3,1,0,1,senior,5,35
applePie,dessert,xl,2,0,0,2,junior,2,16
fishandChips,bites,lg,5,1,0,5,junior,1,35
